country_name,promedio_mortalidad,minimo_mortalidad,maximo_mortalidad,cantidad_años
Sri Lanka,6.8417200000000005,6.0,8.246,25
St. Kitts and Nevis,9.534880000000001,8.523,12.687,25
St. Lucia,7.40648,6.196,11.654,25
St. Martin (French part),5.11668,3.464,12.649,25
St. Vincent and the Grenadines,10.038,7.909,12.927,25
Sudan,7.999199999999999,6.335,10.861,25
Suriname,7.4653599999999996,6.649,9.013,25
Sweden,9.58,8.6,10.6,25
Switzerland,8.152,7.8,8.8,25
Syrian Arab Republic,5.163239999999999,3.736,8.223,25
Tajikistan,5.6174,4.581,7.382,25
Tanzania,8.264,5.721,12.772,25
Thailand,7.0685199999999995,6.395,9.231,25
Timor-Leste,8.02932,7.219,9.68,25
Togo,10.70096,8.486,12.067,25
Tonga,6.41284,6.292,6.701,25
Trinidad and Tobago,7.3076,6.698,9.762,25
Tunisia,5.7991600000000005,5.028,8.348,25
Turkiye,5.58528,4.9,6.7,25
Turkmenistan,6.25748,5.781,6.942,25
Turks and Caicos Islands,5.77872,4.111,7.713,25
Tuvalu,9.448360000000001,9.066,10.015,25
Uganda,8.32972,4.767,14.786,25
Ukraine,14.63356,12.265,17.134,25
United Arab Emirates,1.2266,0.932,2.004,25
United Kingdom,9.44808,8.7,10.3,25
United States,8.58952,7.9,10.4,25
Uruguay,9.63496,9.208,11.726,25
Uzbekistan,6.31048,5.933,7.006,25
Vanuatu,5.4554,5.018,5.797,25
"Venezuela, RB",6.05696,4.929,7.862,25
Viet Nam,6.00624,5.482,6.653,25
Virgin Islands (U.S.),7.0920000000000005,5.6,9.2,25
West Bank and Gaza,3.89608,2.992,7.198,25
"Yemen, Rep.",5.98908,4.734,7.905,25
Zambia,9.37832,5.165,16.198,25
Zimbabwe,11.86152,7.498,17.426,25
